TEMP,timestamp,period
22.35,10:32:39,in-test
22.35,10:32:39,in-test
22.35,10:32:40,in-test
22.35,10:32:40,in-test
22.35,10:32:40,in-test
22.35,10:32:40,in-test
22.37,10:32:41,in-test
22.37,10:32:41,in-test
22.37,10:32:41,in-test
22.37,10:32:41,in-test
22.33,10:32:42,in-test
22.33,10:32:42,in-test
22.33,10:32:42,in-test
22.33,10:32:42,in-test
22.37,10:32:43,in-test
22.37,10:32:43,in-test
22.37,10:32:43,in-test
22.37,10:32:43,in-test
22.35,10:32:44,in-test
22.35,10:32:44,in-test
22.35,10:32:44,in-test
22.35,10:32:44,in-test
22.39,10:32:45,in-test
22.39,10:32:45,in-test
22.39,10:32:45,in-test
22.39,10:32:45,in-test
22.39,10:32:46,in-test
22.39,10:32:46,in-test
22.39,10:32:46,in-test
22.39,10:32:46,in-test
22.39,10:32:47,in-test
22.39,10:32:47,in-test
22.39,10:32:47,in-test
22.39,10:32:47,in-test
22.37,10:32:48,in-test
22.37,10:32:48,in-test
22.37,10:32:48,in-test
22.37,10:32:48,in-test
22.39,10:32:49,in-test
22.39,10:32:49,in-test
22.39,10:32:49,in-test
22.39,10:32:49,in-test
22.37,10:32:50,in-test
22.37,10:32:50,in-test
22.37,10:32:50,in-test
22.37,10:32:50,in-test
22.37,10:32:51,in-test
22.37,10:32:51,in-test
22.37,10:32:51,in-test
22.37,10:32:51,in-test
22.33,10:32:52,in-test
22.33,10:32:52,in-test
22.33,10:32:52,in-test
22.33,10:32:52,in-test
22.33,10:32:53,in-test
22.33,10:32:53,in-test
22.33,10:32:53,in-test
22.33,10:32:53,in-test
22.31,10:32:54,in-test
22.31,10:32:54,in-test
22.31,10:32:54,in-test
22.31,10:32:54,in-test
22.31,10:32:55,in-test
22.31,10:32:55,in-test
22.31,10:32:55,in-test
22.31,10:32:55,in-test
22.33,10:32:56,in-test
22.33,10:32:56,in-test
22.33,10:32:56,in-test
22.33,10:32:56,in-test
22.33,10:32:57,in-test
22.33,10:32:57,in-test
22.33,10:32:57,in-test
22.33,10:32:57,in-test
22.27,10:32:58,in-test
22.27,10:32:58,in-test
22.27,10:32:58,in-test
22.27,10:32:58,in-test
22.31,10:32:59,in-test
22.31,10:32:59,in-test
22.31,10:32:59,in-test
22.31,10:32:59,in-test
22.31,10:33:00,in-test
22.31,10:33:00,in-test
22.31,10:33:00,in-test
22.31,10:33:00,in-test
22.31,10:33:01,in-test
22.31,10:33:01,in-test
22.31,10:33:01,in-test
22.31,10:33:01,in-test
22.29,10:33:02,in-test
22.29,10:33:02,in-test
22.29,10:33:02,in-test
22.29,10:33:02,in-test
