,EDA,timestamp,period,time_seconds
324,0.021783,10:30:18,in-test,81.0
325,0.025627,10:30:18,in-test,81.25
326,0.023064,10:30:18,in-test,81.5
327,0.024345,10:30:18,in-test,81.75
328,0.024345,10:30:19,in-test,82.0
329,0.024345,10:30:19,in-test,82.25
330,0.024345,10:30:19,in-test,82.5
331,0.023064,10:30:19,in-test,82.75
332,0.023064,10:30:20,in-test,83.0
333,0.025627,10:30:20,in-test,83.25
334,0.024345,10:30:20,in-test,83.5
335,0.025627,10:30:20,in-test,83.75
336,0.023064,10:30:21,in-test,84.0
337,0.023064,10:30:21,in-test,84.25
338,0.023064,10:30:21,in-test,84.5
339,0.024345,10:30:21,in-test,84.75
340,0.024345,10:30:22,in-test,85.0
341,0.024345,10:30:22,in-test,85.25
342,0.021783,10:30:22,in-test,85.5
343,0.024345,10:30:22,in-test,85.75
344,0.024345,10:30:23,in-test,86.0
345,0.023064,10:30:23,in-test,86.25
346,0.024345,10:30:23,in-test,86.5
347,0.023064,10:30:23,in-test,86.75
348,0.023064,10:30:24,in-test,87.0
349,0.023064,10:30:24,in-test,87.25
350,0.024345,10:30:24,in-test,87.5
351,0.023064,10:30:24,in-test,87.75
352,0.023064,10:30:25,in-test,88.0
353,0.025627,10:30:25,in-test,88.25
354,0.024345,10:30:25,in-test,88.5
355,0.024345,10:30:25,in-test,88.75
356,0.024345,10:30:26,in-test,89.0
357,0.023064,10:30:26,in-test,89.25
358,0.025627,10:30:26,in-test,89.5
359,0.024345,10:30:26,in-test,89.75
360,0.023064,10:30:27,in-test,90.0
361,0.024345,10:30:27,in-test,90.25
362,0.023064,10:30:27,in-test,90.5
363,0.023064,10:30:27,in-test,90.75
364,0.024345,10:30:28,in-test,91.0
365,0.024345,10:30:28,in-test,91.25
366,0.025627,10:30:28,in-test,91.5
367,0.021783,10:30:28,in-test,91.75
368,0.023064,10:30:29,in-test,92.0
369,0.024345,10:30:29,in-test,92.25
370,0.024345,10:30:29,in-test,92.5
371,0.023064,10:30:29,in-test,92.75
372,0.023064,10:30:30,in-test,93.0
373,0.024345,10:30:30,in-test,93.25
374,0.024345,10:30:30,in-test,93.5
375,0.024345,10:30:30,in-test,93.75
376,0.024345,10:30:31,in-test,94.0
377,0.024345,10:30:31,in-test,94.25
378,0.023064,10:30:31,in-test,94.5
379,0.024345,10:30:31,in-test,94.75
380,0.024345,10:30:32,in-test,95.0
381,0.024345,10:30:32,in-test,95.25
382,0.025627,10:30:32,in-test,95.5
383,0.023064,10:30:32,in-test,95.75
384,0.023064,10:30:33,in-test,96.0
385,0.024345,10:30:33,in-test,96.25
386,0.024345,10:30:33,in-test,96.5
387,0.023064,10:30:33,in-test,96.75
388,0.024345,10:30:34,in-test,97.0
389,0.023064,10:30:34,in-test,97.25
390,0.023064,10:30:34,in-test,97.5
391,0.025627,10:30:34,in-test,97.75
392,0.025627,10:30:35,in-test,98.0
393,0.023064,10:30:35,in-test,98.25
394,0.024345,10:30:35,in-test,98.5
395,0.024345,10:30:35,in-test,98.75
396,0.024345,10:30:36,in-test,99.0
397,0.023064,10:30:36,in-test,99.25
398,0.023064,10:30:36,in-test,99.5
399,0.023064,10:30:36,in-test,99.75
400,0.023064,10:30:37,in-test,100.0
401,0.024345,10:30:37,in-test,100.25
402,0.020501,10:30:37,in-test,100.5
403,0.023064,10:30:37,in-test,100.75
404,0.024345,10:30:38,in-test,101.0
405,0.024345,10:30:38,in-test,101.25
406,0.024345,10:30:38,in-test,101.5
407,0.023064,10:30:38,in-test,101.75
408,0.023064,10:30:39,in-test,102.0
409,0.023064,10:30:39,in-test,102.25
410,0.024345,10:30:39,in-test,102.5
411,0.023064,10:30:39,in-test,102.75
412,0.021783,10:30:40,in-test,103.0
413,0.024345,10:30:40,in-test,103.25
414,0.023064,10:30:40,in-test,103.5
415,0.023064,10:30:40,in-test,103.75
416,0.023064,10:30:41,in-test,104.0
417,0.023064,10:30:41,in-test,104.25
418,0.024345,10:30:41,in-test,104.5
419,0.024345,10:30:41,in-test,104.75
420,0.024345,10:30:42,in-test,105.0
421,0.024345,10:30:42,in-test,105.25
422,0.023064,10:30:42,in-test,105.5
423,0.024345,10:30:42,in-test,105.75
424,0.024345,10:30:43,in-test,106.0
425,0.023064,10:30:43,in-test,106.25
426,0.023064,10:30:43,in-test,106.5
427,0.025627,10:30:43,in-test,106.75
428,0.023064,10:30:44,in-test,107.0
429,0.023064,10:30:44,in-test,107.25
430,0.024345,10:30:44,in-test,107.5
431,0.024345,10:30:44,in-test,107.75
432,0.023064,10:30:45,in-test,108.0
433,0.023064,10:30:45,in-test,108.25
434,0.021783,10:30:45,in-test,108.5
435,0.024345,10:30:45,in-test,108.75
436,0.024345,10:30:46,in-test,109.0
437,0.023064,10:30:46,in-test,109.25
438,0.021783,10:30:46,in-test,109.5
439,0.024345,10:30:46,in-test,109.75
440,0.024345,10:30:47,in-test,110.0
441,0.024345,10:30:47,in-test,110.25
442,0.025627,10:30:47,in-test,110.5
443,0.024345,10:30:47,in-test,110.75
444,0.021783,10:30:48,in-test,111.0
445,0.023064,10:30:48,in-test,111.25
446,0.024345,10:30:48,in-test,111.5
447,0.024345,10:30:48,in-test,111.75
448,0.023064,10:30:49,in-test,112.0
449,0.023064,10:30:49,in-test,112.25
450,0.021783,10:30:49,in-test,112.5
451,0.023064,10:30:49,in-test,112.75
452,0.024345,10:30:50,in-test,113.0
453,0.024345,10:30:50,in-test,113.25
454,0.023064,10:30:50,in-test,113.5
455,0.023064,10:30:50,in-test,113.75
456,0.024345,10:30:51,in-test,114.0
457,0.025627,10:30:51,in-test,114.25
458,0.024345,10:30:51,in-test,114.5
459,0.023064,10:30:51,in-test,114.75
460,0.023064,10:30:52,in-test,115.0
461,0.024345,10:30:52,in-test,115.25
462,0.023064,10:30:52,in-test,115.5
463,0.024345,10:30:52,in-test,115.75
464,0.024345,10:30:53,in-test,116.0
465,0.024345,10:30:53,in-test,116.25
466,0.023064,10:30:53,in-test,116.5
467,0.024345,10:30:53,in-test,116.75
468,0.024345,10:30:54,in-test,117.0
469,0.024345,10:30:54,in-test,117.25
470,0.024345,10:30:54,in-test,117.5
471,0.025627,10:30:54,in-test,117.75
472,0.025627,10:30:55,in-test,118.0
473,0.024345,10:30:55,in-test,118.25
474,0.024345,10:30:55,in-test,118.5
475,0.025627,10:30:55,in-test,118.75
476,0.023064,10:30:56,in-test,119.0
477,0.023064,10:30:56,in-test,119.25
478,0.024345,10:30:56,in-test,119.5
479,0.024345,10:30:56,in-test,119.75
480,0.024345,10:30:57,in-test,120.0
481,0.024345,10:30:57,in-test,120.25
482,0.020501,10:30:57,in-test,120.5
483,0.023064,10:30:57,in-test,120.75
484,0.023064,10:30:58,in-test,121.0
485,0.025627,10:30:58,in-test,121.25
486,0.023064,10:30:58,in-test,121.5
487,0.023064,10:30:58,in-test,121.75
488,0.024345,10:30:59,in-test,122.0
489,0.024345,10:30:59,in-test,122.25
490,0.025627,10:30:59,in-test,122.5
491,0.023064,10:30:59,in-test,122.75
492,0.024345,10:31:00,in-test,123.0
493,0.024345,10:31:00,in-test,123.25
494,0.024345,10:31:00,in-test,123.5
495,0.024345,10:31:00,in-test,123.75
496,0.023064,10:31:01,in-test,124.0
497,0.023064,10:31:01,in-test,124.25
498,0.023064,10:31:01,in-test,124.5
499,0.024345,10:31:01,in-test,124.75
500,0.024345,10:31:02,in-test,125.0
501,0.023064,10:31:02,in-test,125.25
502,0.024345,10:31:02,in-test,125.5
503,0.024345,10:31:02,in-test,125.75
504,0.023064,10:31:03,in-test,126.0
505,0.025627,10:31:03,in-test,126.25
506,0.024345,10:31:03,in-test,126.5
507,0.021783,10:31:03,in-test,126.75
508,0.025627,10:31:04,in-test,127.0
509,0.024345,10:31:04,in-test,127.25
510,0.024345,10:31:04,in-test,127.5
511,0.024345,10:31:04,in-test,127.75
512,0.023064,10:31:05,in-test,128.0
513,0.023064,10:31:05,in-test,128.25
514,0.023064,10:31:05,in-test,128.5
515,0.024345,10:31:05,in-test,128.75
516,0.021783,10:31:06,in-test,129.0
517,0.024345,10:31:06,in-test,129.25
518,0.021783,10:31:06,in-test,129.5
519,0.024345,10:31:06,in-test,129.75
520,0.024345,10:31:07,in-test,130.0
521,0.024345,10:31:07,in-test,130.25
522,0.025627,10:31:07,in-test,130.5
523,0.023064,10:31:07,in-test,130.75
524,0.023064,10:31:08,in-test,131.0
525,0.023064,10:31:08,in-test,131.25
526,0.024345,10:31:08,in-test,131.5
527,0.024345,10:31:08,in-test,131.75
528,0.023064,10:31:09,in-test,132.0
529,0.023064,10:31:09,in-test,132.25
530,0.024345,10:31:09,in-test,132.5
531,0.024345,10:31:09,in-test,132.75
532,0.025627,10:31:10,in-test,133.0
533,0.023064,10:31:10,in-test,133.25
534,0.023064,10:31:10,in-test,133.5
535,0.024345,10:31:10,in-test,133.75
536,0.024345,10:31:11,in-test,134.0
537,0.024345,10:31:11,in-test,134.25
538,0.023064,10:31:11,in-test,134.5
539,0.023064,10:31:11,in-test,134.75
540,0.023064,10:31:12,in-test,135.0
541,0.024345,10:31:12,in-test,135.25
542,0.024345,10:31:12,in-test,135.5
543,0.023064,10:31:12,in-test,135.75
544,0.023064,10:31:13,in-test,136.0
545,0.024345,10:31:13,in-test,136.25
546,0.024345,10:31:13,in-test,136.5
547,0.024345,10:31:13,in-test,136.75
548,0.023064,10:31:14,in-test,137.0
549,0.023064,10:31:14,in-test,137.25
550,0.025627,10:31:14,in-test,137.5
551,0.023064,10:31:14,in-test,137.75
552,0.024345,10:31:15,in-test,138.0
553,0.026908,10:31:15,in-test,138.25
554,0.026908,10:31:15,in-test,138.5
555,0.023064,10:31:15,in-test,138.75
556,0.025627,10:31:16,in-test,139.0
557,0.024345,10:31:16,in-test,139.25
558,0.024345,10:31:16,in-test,139.5
559,0.021783,10:31:16,in-test,139.75
560,0.023064,10:31:17,in-test,140.0
561,0.024345,10:31:17,in-test,140.25
562,0.021783,10:31:17,in-test,140.5
563,0.021783,10:31:17,in-test,140.75
564,0.023064,10:31:18,in-test,141.0
565,0.025627,10:31:18,in-test,141.25
566,0.023064,10:31:18,in-test,141.5
567,0.024345,10:31:18,in-test,141.75
568,0.024345,10:31:19,in-test,142.0
569,0.023064,10:31:19,in-test,142.25
570,0.023064,10:31:19,in-test,142.5
571,0.024345,10:31:19,in-test,142.75
572,0.024345,10:31:20,in-test,143.0
573,0.023064,10:31:20,in-test,143.25
574,0.025627,10:31:20,in-test,143.5
575,0.024345,10:31:20,in-test,143.75
576,0.023064,10:31:21,in-test,144.0
577,0.024345,10:31:21,in-test,144.25
578,0.023064,10:31:21,in-test,144.5
579,0.024345,10:31:21,in-test,144.75
580,0.024345,10:31:22,in-test,145.0
581,0.024345,10:31:22,in-test,145.25
582,0.024345,10:31:22,in-test,145.5
583,0.023064,10:31:22,in-test,145.75
584,0.023064,10:31:23,in-test,146.0
585,0.023064,10:31:23,in-test,146.25
586,0.023064,10:31:23,in-test,146.5
587,0.024345,10:31:23,in-test,146.75
588,0.025627,10:31:24,in-test,147.0
589,0.024345,10:31:24,in-test,147.25
