TEMP,timestamp,period,time_seconds
26.03,08:34:51,pre-test,-214.0
26.03,08:34:51,pre-test,-213.75
26.03,08:34:51,pre-test,-213.5
26.03,08:34:51,pre-test,-213.25
26.03,08:34:52,pre-test,-213.0
26.03,08:34:52,pre-test,-212.75
26.03,08:34:52,pre-test,-212.5
26.03,08:34:52,pre-test,-212.25
26.05,08:34:53,pre-test,-212.0
26.05,08:34:53,pre-test,-211.75
26.05,08:34:53,pre-test,-211.5
26.05,08:34:53,pre-test,-211.25
26.15,08:34:54,pre-test,-211.0
26.15,08:34:54,pre-test,-210.75
26.15,08:34:54,pre-test,-210.5
26.15,08:34:54,pre-test,-210.25
26.01,08:34:55,pre-test,-210.0
26.01,08:34:55,pre-test,-209.75
26.01,08:34:55,pre-test,-209.5
26.01,08:34:55,pre-test,-209.25
26.05,08:34:56,pre-test,-209.0
26.05,08:34:56,pre-test,-208.75
26.05,08:34:56,pre-test,-208.5
26.05,08:34:56,pre-test,-208.25
26.11,08:34:57,pre-test,-208.0
26.11,08:34:57,pre-test,-207.75
26.11,08:34:57,pre-test,-207.5
26.11,08:34:57,pre-test,-207.25
26.05,08:34:58,pre-test,-207.0
26.05,08:34:58,pre-test,-206.75
26.05,08:34:58,pre-test,-206.5
26.05,08:34:58,pre-test,-206.25
26.03,08:34:59,pre-test,-206.0
26.03,08:34:59,pre-test,-205.75
26.03,08:34:59,pre-test,-205.5
26.03,08:34:59,pre-test,-205.25
25.99,08:35:00,pre-test,-205.0
25.99,08:35:00,pre-test,-204.75
25.99,08:35:00,pre-test,-204.5
25.99,08:35:00,pre-test,-204.25
25.99,08:35:01,pre-test,-204.0
25.99,08:35:01,pre-test,-203.75
25.99,08:35:01,pre-test,-203.5
25.99,08:35:01,pre-test,-203.25
25.97,08:35:02,pre-test,-203.0
25.97,08:35:02,pre-test,-202.75
25.97,08:35:02,pre-test,-202.5
25.97,08:35:02,pre-test,-202.25
26.01,08:35:03,pre-test,-202.0
26.01,08:35:03,pre-test,-201.75
26.01,08:35:03,pre-test,-201.5
26.01,08:35:03,pre-test,-201.25
26.01,08:35:04,pre-test,-201.0
26.01,08:35:04,pre-test,-200.75
26.01,08:35:04,pre-test,-200.5
26.01,08:35:04,pre-test,-200.25
25.97,08:35:05,pre-test,-200.0
25.97,08:35:05,pre-test,-199.75
25.97,08:35:05,pre-test,-199.5
25.97,08:35:05,pre-test,-199.25
25.95,08:35:06,pre-test,-199.0
25.95,08:35:06,pre-test,-198.75
25.95,08:35:06,pre-test,-198.5
25.95,08:35:06,pre-test,-198.25
25.97,08:35:07,pre-test,-198.0
25.97,08:35:07,pre-test,-197.75
25.97,08:35:07,pre-test,-197.5
25.97,08:35:07,pre-test,-197.25
26.07,08:35:08,pre-test,-197.0
26.07,08:35:08,pre-test,-196.75
26.07,08:35:08,pre-test,-196.5
26.07,08:35:08,pre-test,-196.25
26.13,08:35:09,pre-test,-196.0
26.13,08:35:09,pre-test,-195.75
26.13,08:35:09,pre-test,-195.5
26.13,08:35:09,pre-test,-195.25
26.13,08:35:10,pre-test,-195.0
26.13,08:35:10,pre-test,-194.75
26.13,08:35:10,pre-test,-194.5
26.13,08:35:10,pre-test,-194.25
26.19,08:35:11,pre-test,-194.0
26.19,08:35:11,pre-test,-193.75
26.19,08:35:11,pre-test,-193.5
26.19,08:35:11,pre-test,-193.25
26.21,08:35:12,pre-test,-193.0
26.21,08:35:12,pre-test,-192.75
26.21,08:35:12,pre-test,-192.5
26.21,08:35:12,pre-test,-192.25
26.25,08:35:13,pre-test,-192.0
26.25,08:35:13,pre-test,-191.75
26.25,08:35:13,pre-test,-191.5
26.25,08:35:13,pre-test,-191.25
26.29,08:35:14,pre-test,-191.0
26.29,08:35:14,pre-test,-190.75
26.29,08:35:14,pre-test,-190.5
26.29,08:35:14,pre-test,-190.25
26.31,08:35:15,pre-test,-190.0
26.31,08:35:15,pre-test,-189.75
26.31,08:35:15,pre-test,-189.5
26.31,08:35:15,pre-test,-189.25
26.33,08:35:16,pre-test,-189.0
26.33,08:35:16,pre-test,-188.75
26.33,08:35:16,pre-test,-188.5
26.33,08:35:16,pre-test,-188.25
26.33,08:35:17,pre-test,-188.0
26.33,08:35:17,pre-test,-187.75
26.33,08:35:17,pre-test,-187.5
26.33,08:35:17,pre-test,-187.25
26.23,08:35:18,pre-test,-187.0
26.23,08:35:18,pre-test,-186.75
26.23,08:35:18,pre-test,-186.5
26.23,08:35:18,pre-test,-186.25
26.27,08:35:19,pre-test,-186.0
26.27,08:35:19,pre-test,-185.75
26.27,08:35:19,pre-test,-185.5
26.27,08:35:19,pre-test,-185.25
26.31,08:35:20,pre-test,-185.0
26.31,08:35:20,pre-test,-184.75
26.31,08:35:20,pre-test,-184.5
26.31,08:35:20,pre-test,-184.25
26.31,08:35:21,pre-test,-184.0
26.31,08:35:21,pre-test,-183.75
26.31,08:35:21,pre-test,-183.5
26.31,08:35:21,pre-test,-183.25
26.33,08:35:22,pre-test,-183.0
26.33,08:35:22,pre-test,-182.75
26.33,08:35:22,pre-test,-182.5
26.33,08:35:22,pre-test,-182.25
26.37,08:35:23,pre-test,-182.0
26.37,08:35:23,pre-test,-181.75
26.37,08:35:23,pre-test,-181.5
26.37,08:35:23,pre-test,-181.25
26.33,08:35:24,pre-test,-181.0
26.33,08:35:24,pre-test,-180.75
26.33,08:35:24,pre-test,-180.5
26.33,08:35:24,pre-test,-180.25
26.31,08:35:25,pre-test,-180.0
26.31,08:35:25,pre-test,-179.75
26.31,08:35:25,pre-test,-179.5
26.31,08:35:25,pre-test,-179.25
26.31,08:35:26,pre-test,-179.0
26.31,08:35:26,pre-test,-178.75
26.31,08:35:26,pre-test,-178.5
26.31,08:35:26,pre-test,-178.25
26.31,08:35:27,pre-test,-178.0
26.31,08:35:27,pre-test,-177.75
26.31,08:35:27,pre-test,-177.5
26.31,08:35:27,pre-test,-177.25
26.31,08:35:28,pre-test,-177.0
26.31,08:35:28,pre-test,-176.75
26.31,08:35:28,pre-test,-176.5
26.31,08:35:28,pre-test,-176.25
26.29,08:35:29,pre-test,-176.0
26.29,08:35:29,pre-test,-175.75
26.29,08:35:29,pre-test,-175.5
26.29,08:35:29,pre-test,-175.25
26.27,08:35:30,pre-test,-175.0
26.27,08:35:30,pre-test,-174.75
26.27,08:35:30,pre-test,-174.5
26.27,08:35:30,pre-test,-174.25
26.23,08:35:31,pre-test,-174.0
26.23,08:35:31,pre-test,-173.75
26.23,08:35:31,pre-test,-173.5
26.23,08:35:31,pre-test,-173.25
26.21,08:35:32,pre-test,-173.0
26.21,08:35:32,pre-test,-172.75
26.21,08:35:32,pre-test,-172.5
26.21,08:35:32,pre-test,-172.25
26.25,08:35:33,pre-test,-172.0
26.25,08:35:33,pre-test,-171.75
26.25,08:35:33,pre-test,-171.5
26.25,08:35:33,pre-test,-171.25
26.27,08:35:34,pre-test,-171.0
26.27,08:35:34,pre-test,-170.75
26.27,08:35:34,pre-test,-170.5
26.27,08:35:34,pre-test,-170.25
26.29,08:35:35,pre-test,-170.0
26.29,08:35:35,pre-test,-169.75
26.29,08:35:35,pre-test,-169.5
26.29,08:35:35,pre-test,-169.25
26.27,08:35:36,pre-test,-169.0
26.27,08:35:36,pre-test,-168.75
26.27,08:35:36,pre-test,-168.5
26.27,08:35:36,pre-test,-168.25
26.21,08:35:37,pre-test,-168.0
26.21,08:35:37,pre-test,-167.75
26.21,08:35:37,pre-test,-167.5
