HR,timestamp,period
112.12,08:24:48,pre-test
111.77,08:24:49,pre-test
111.4,08:24:50,pre-test
111.03,08:24:51,pre-test
110.68,08:24:52,pre-test
110.38,08:24:53,pre-test
110.08,08:24:54,pre-test
109.73,08:24:55,pre-test
109.6,08:24:56,pre-test
109.38,08:24:57,pre-test
109.23,08:24:58,pre-test
109.13,08:24:59,pre-test
109.0,08:25:00,pre-test
108.87,08:25:01,pre-test
108.88,08:25:02,pre-test
108.92,08:25:03,pre-test
108.93,08:25:04,pre-test
108.95,08:25:05,pre-test
109.05,08:25:06,pre-test
109.13,08:25:07,pre-test
109.2,08:25:08,pre-test
109.27,08:25:09,pre-test
109.32,08:25:10,pre-test
109.33,08:25:11,pre-test
109.32,08:25:12,pre-test
109.32,08:25:13,pre-test
109.23,08:25:14,pre-test
109.2,08:25:15,pre-test
109.13,08:25:16,pre-test
109.08,08:25:17,pre-test
109.07,08:25:18,pre-test
109.07,08:25:19,pre-test
109.05,08:25:20,pre-test
109.05,08:25:21,pre-test
109.1,08:25:22,pre-test
109.12,08:25:23,pre-test
109.08,08:25:24,pre-test
109.12,08:25:25,pre-test
109.12,08:25:26,pre-test
109.1,08:25:27,pre-test
109.07,08:25:28,pre-test
108.97,08:25:29,pre-test
108.9,08:25:30,pre-test
108.88,08:25:31,pre-test
108.87,08:25:32,pre-test
108.78,08:25:33,pre-test
108.73,08:25:34,pre-test
108.73,08:25:35,pre-test
108.98,08:25:36,pre-test
109.25,08:25:37,pre-test
109.52,08:25:38,pre-test
109.8,08:25:39,pre-test
110.08,08:25:40,pre-test
110.38,08:25:41,pre-test
110.7,08:25:42,pre-test
111.03,08:25:43,pre-test
111.33,08:25:44,pre-test
111.6,08:25:45,pre-test
111.83,08:25:46,pre-test
112.05,08:25:47,pre-test
112.27,08:25:48,pre-test
112.5,08:25:49,pre-test
112.73,08:25:50,pre-test
112.97,08:25:51,pre-test
113.2,08:25:52,pre-test
113.43,08:25:53,pre-test
113.68,08:25:54,pre-test
113.95,08:25:55,pre-test
114.13,08:25:56,pre-test
114.33,08:25:57,pre-test
114.5,08:25:58,pre-test
114.68,08:25:59,pre-test
114.88,08:26:00,pre-test
115.08,08:26:01,pre-test
115.27,08:26:02,pre-test
115.4,08:26:03,pre-test
115.53,08:26:04,pre-test
115.63,08:26:05,pre-test
115.67,08:26:06,pre-test
115.73,08:26:07,pre-test
115.82,08:26:08,pre-test
115.92,08:26:09,pre-test
116.05,08:26:10,pre-test
116.22,08:26:11,pre-test
116.43,08:26:12,pre-test
116.67,08:26:13,pre-test
116.92,08:26:14,pre-test
117.17,08:26:15,pre-test
117.43,08:26:16,pre-test
117.72,08:26:17,pre-test
117.98,08:26:18,pre-test
118.23,08:26:19,pre-test
118.53,08:26:20,pre-test
118.82,08:26:21,pre-test
119.05,08:26:22,pre-test
119.27,08:26:23,pre-test
119.5,08:26:24,pre-test
119.65,08:26:25,pre-test
119.85,08:26:26,pre-test
120.07,08:26:27,pre-test
120.3,08:26:28,pre-test
120.6,08:26:29,pre-test
120.87,08:26:30,pre-test
121.1,08:26:31,pre-test
121.35,08:26:32,pre-test
121.67,08:26:33,pre-test
121.95,08:26:34,pre-test
122.22,08:26:35,pre-test
122.25,08:26:36,pre-test
122.3,08:26:37,pre-test
122.35,08:26:38,pre-test
122.42,08:26:39,pre-test
122.47,08:26:40,pre-test
122.52,08:26:41,pre-test
122.55,08:26:42,pre-test
122.55,08:26:43,pre-test
122.55,08:26:44,pre-test
122.57,08:26:45,pre-test
122.62,08:26:46,pre-test
122.67,08:26:47,pre-test
122.73,08:26:48,pre-test
122.8,08:26:49,pre-test
