time_seconds,EDA_min,EDA_max
4288.5,0.210138,0.784416
4288.75,0.210138,0.786978
4289.0,0.212714,0.785697
4289.25,0.210138,0.779291
4289.5,0.21142,0.77801
4289.75,0.208857,0.779291
4290.0,0.21142,0.775448
4290.25,0.210138,0.776729
4290.5,0.210138,0.771604
4290.75,0.210138,0.771604
4291.0,0.210138,0.767761
4291.25,0.210138,0.769042
4291.5,0.212714,0.767761
4291.75,0.210138,0.767761
4292.0,0.210138,0.769042
4292.25,0.212701,0.76648
4292.5,0.210138,0.762636
4292.75,0.21142,0.761355
4293.0,0.21142,0.775425
4293.25,0.21142,0.788238
4293.5,0.162749,0.795926
4293.75,0.006407,0.799769
4294.0,0.029474,0.790801
4294.25,0.124304,0.767738
4294.5,0.180689,0.769019
4294.75,0.202475,0.769019
4295.0,0.101237,0.789519
4295.25,0.057667,0.839488
4295.5,0.121741,0.947114
4295.75,0.148652,1.041926
4296.0,0.169156,1.072745
4296.25,0.175563,1.139371
4296.5,0.00897,1.207277
4296.75,0.00897,1.195746
4297.0,0.005126,1.172683
4297.25,0.005126,1.144496
4297.5,0.028193,1.107339
4297.75,0.017941,1.071464
4298.0,0.02563,1.04712
4298.25,0.019222,1.031745
4298.5,0.020504,1.024058
4298.75,0.016659,1.027902
4299.0,0.026911,1.033027
4299.25,0.042289,1.041995
4299.5,0.073045,1.065058
4299.75,0.061511,1.116308
4300.0,0.058948,1.194465
4300.25,0.101237,1.272621
4300.5,0.042289,1.345653
4300.75,0.005126,1.395622
4301.0,0.005126,1.409715
4301.25,0.006407,1.386653
4301.5,0.005126,1.345653
4301.75,0.005126,1.341809
4302.0,0.003844,1.409715
4302.25,0.005126,1.527591
4302.5,0.006407,1.705784
4302.75,0.003844,1.871066
4303.0,0.005126,1.96716
4303.25,0.005126,1.984015
4303.5,0.020504,1.926359
4303.75,0.005126,1.821296
4304.0,0.006407,1.735452
4304.25,0.012815,1.676515
4304.5,0.02563,1.631671
4304.75,0.030756,1.598358
4305.0,0.0346,1.571452
4305.25,0.035882,1.617577
4305.5,0.012815,1.720077
4305.75,0.019222,1.93789
4306.0,0.051259,2.148016
4306.25,0.079452,2.31586
