time_seconds,HR_min,HR_max
484,71.3,128.52
485,71.35,127.88
486,71.4,127.23
487,71.47,126.65
488,71.55,126.07
489,71.57,125.45
490,71.65,124.88
491,71.72,124.45
492,71.63,124.3
493,71.55,124.1
494,71.38,123.9
495,71.2,123.62
496,71.02,123.42
497,70.88,123.48
498,70.93,123.55
499,71.02,123.25
500,71.13,123.0
501,71.3,122.72
502,71.48,122.45
503,71.63,122.23
504,71.8,122.08
505,71.97,121.92
506,72.13,121.73
507,72.3,121.58
508,72.3,121.43
509,72.25,121.25
510,72.18,121.1
511,72.12,120.92
512,72.03,121.0
513,71.88,120.22
514,71.72,119.52
515,71.52,118.87
516,71.25,118.28
517,71.15,117.68
518,71.02,117.28
519,70.85,116.98
520,70.63,116.65
521,70.4,116.28
522,70.12,115.75
523,69.75,115.07
524,69.4,114.4
525,69.1,113.7
526,68.95,112.95
527,68.83,112.18
528,68.68,111.42
529,68.78,110.78
530,68.85,110.87
531,68.9,110.92
532,68.97,111.05
533,68.72,111.13
534,68.5,111.23
535,68.22,111.42
536,67.77,111.57
537,67.33,111.75
538,66.85,111.95
539,66.33,111.77
540,65.78,111.93
541,65.23,112.17
542,64.68,112.43
543,64.32,112.67
544,64.02,112.9
545,63.78,113.13
546,63.53,113.37
547,63.3,113.58
548,63.07,113.83
549,62.9,113.87
550,63.02,113.93
551,63.08,113.97
552,63.15,114.0
553,63.22,113.97
554,63.33,113.97
555,63.47,113.77
556,63.65,113.58
557,63.87,113.38
558,64.15,113.33
559,64.38,113.25
560,64.65,113.25
561,64.75,113.2
562,65.23,113.12
563,65.68,112.92
564,66.27,112.75
565,66.8,112.62
566,67.3,112.52
567,67.82,112.42
568,68.38,112.33
569,68.93,112.25
570,69.45,112.2
571,70.02,112.18
572,70.67,112.13
573,71.4,112.07
574,72.27,112.12
575,73.22,112.98
576,74.25,113.83
577,75.23,114.67
578,76.22,115.3
579,76.18,115.78
580,76.08,116.28
581,75.95,116.78
582,75.8,117.3
583,75.65,117.83
584,75.5,118.53
585,75.37,119.28
586,75.35,120.05
587,75.33,120.83
588,75.28,121.65
589,75.2,122.48
590,75.07,123.35
591,74.93,124.18
592,74.82,125.07
593,74.67,125.93
594,74.5,126.78
595,74.32,127.62
596,74.12,128.38
597,73.78,129.17
598,73.5,130.02
599,73.2,130.65
600,72.92,131.3
601,72.65,131.97
602,72.37,132.63
603,72.1,133.13
604,71.82,133.57
605,71.58,134.02
606,71.38,134.47
607,71.17,135.02
608,70.93,135.57
609,70.72,135.3
610,70.48,135.07
611,70.28,134.8
612,69.98,134.52
613,69.9,134.55
614,69.88,134.57
615,69.88,134.63
616,69.9,134.68
617,69.9,134.08
618,69.95,133.47
619,70.05,132.97
620,70.0,132.5
621,69.92,132.02
622,69.77,131.47
623,69.83,130.88
624,69.92,130.17
625,70.03,129.47
626,70.17,128.88
627,70.25,128.27
628,70.37,129.15
629,70.52,130.1
630,70.7,130.48
631,70.9,130.88
632,71.1,131.25
633,71.33,131.58
634,71.6,131.75
635,71.92,131.55
636,72.23,131.37
637,72.52,131.2
638,72.88,131.07
639,73.2,130.93
640,73.48,130.75
641,73.8,130.55
642,74.05,130.32
643,74.28,130.08
644,74.55,129.9
645,74.82,129.98
646,75.12,130.15
647,75.42,130.28
648,75.78,130.5
649,76.02,130.68
650,76.23,130.87
651,76.27,131.08
652,76.3,131.3
653,76.4,131.82
654,76.52,132.28
655,76.65,132.73
656,76.82,133.13
657,77.13,133.53
658,77.45,133.9
659,77.48,134.02
660,77.32,134.1
661,77.12,134.25
662,76.98,134.0
663,76.82,133.73
664,76.62,133.7
665,76.4,133.6
666,76.17,133.53
667,75.93,133.43
668,75.62,133.33
669,75.38,133.18
