EDA,timestamp,period,time_seconds
0.024345,10:30:53,in-test,116.25
0.023064,10:30:53,in-test,116.5
0.024345,10:30:53,in-test,116.75
0.024345,10:30:54,in-test,117.0
0.024345,10:30:54,in-test,117.25
0.024345,10:30:54,in-test,117.5
0.025627,10:30:54,in-test,117.75
0.025627,10:30:55,in-test,118.0
0.024345,10:30:55,in-test,118.25
0.024345,10:30:55,in-test,118.5
0.025627,10:30:55,in-test,118.75
0.023064,10:30:56,in-test,119.0
0.023064,10:30:56,in-test,119.25
0.024345,10:30:56,in-test,119.5
0.024345,10:30:56,in-test,119.75
0.024345,10:30:57,in-test,120.0
0.024345,10:30:57,in-test,120.25
0.020501,10:30:57,in-test,120.5
0.023064,10:30:57,in-test,120.75
0.023064,10:30:58,in-test,121.0
0.025627,10:30:58,in-test,121.25
0.023064,10:30:58,in-test,121.5
0.023064,10:30:58,in-test,121.75
0.024345,10:30:59,in-test,122.0
0.024345,10:30:59,in-test,122.25
0.025627,10:30:59,in-test,122.5
0.023064,10:30:59,in-test,122.75
0.024345,10:31:00,in-test,123.0
0.024345,10:31:00,in-test,123.25
0.024345,10:31:00,in-test,123.5
0.024345,10:31:00,in-test,123.75
0.023064,10:31:01,in-test,124.0
0.023064,10:31:01,in-test,124.25
0.023064,10:31:01,in-test,124.5
0.024345,10:31:01,in-test,124.75
0.024345,10:31:02,in-test,125.0
0.023064,10:31:02,in-test,125.25
0.024345,10:31:02,in-test,125.5
0.024345,10:31:02,in-test,125.75
0.023064,10:31:03,in-test,126.0
0.025627,10:31:03,in-test,126.25
0.024345,10:31:03,in-test,126.5
0.021783,10:31:03,in-test,126.75
0.025627,10:31:04,in-test,127.0
0.024345,10:31:04,in-test,127.25
0.024345,10:31:04,in-test,127.5
0.024345,10:31:04,in-test,127.75
0.023064,10:31:05,in-test,128.0
0.023064,10:31:05,in-test,128.25
0.023064,10:31:05,in-test,128.5
0.024345,10:31:05,in-test,128.75
0.021783,10:31:06,in-test,129.0
0.024345,10:31:06,in-test,129.25
0.021783,10:31:06,in-test,129.5
0.024345,10:31:06,in-test,129.75
0.024345,10:31:07,in-test,130.0
0.024345,10:31:07,in-test,130.25
0.025627,10:31:07,in-test,130.5
0.023064,10:31:07,in-test,130.75
0.023064,10:31:08,in-test,131.0
0.023064,10:31:08,in-test,131.25
0.024345,10:31:08,in-test,131.5
0.024345,10:31:08,in-test,131.75
0.023064,10:31:09,in-test,132.0
0.023064,10:31:09,in-test,132.25
0.024345,10:31:09,in-test,132.5
0.024345,10:31:09,in-test,132.75
0.025627,10:31:10,in-test,133.0
0.023064,10:31:10,in-test,133.25
0.023064,10:31:10,in-test,133.5
0.024345,10:31:10,in-test,133.75
0.024345,10:31:11,in-test,134.0
0.024345,10:31:11,in-test,134.25
0.023064,10:31:11,in-test,134.5
0.023064,10:31:11,in-test,134.75
0.023064,10:31:12,in-test,135.0
0.024345,10:31:12,in-test,135.25
0.024345,10:31:12,in-test,135.5
0.023064,10:31:12,in-test,135.75
0.023064,10:31:13,in-test,136.0
0.024345,10:31:13,in-test,136.25
0.024345,10:31:13,in-test,136.5
0.024345,10:31:13,in-test,136.75
0.023064,10:31:14,in-test,137.0
0.023064,10:31:14,in-test,137.25
0.025627,10:31:14,in-test,137.5
0.023064,10:31:14,in-test,137.75
0.024345,10:31:15,in-test,138.0
0.026908,10:31:15,in-test,138.25
0.026908,10:31:15,in-test,138.5
0.023064,10:31:15,in-test,138.75
0.025627,10:31:16,in-test,139.0
0.024345,10:31:16,in-test,139.25
0.024345,10:31:16,in-test,139.5
0.021783,10:31:16,in-test,139.75
0.023064,10:31:17,in-test,140.0
0.024345,10:31:17,in-test,140.25
0.021783,10:31:17,in-test,140.5
0.021783,10:31:17,in-test,140.75
0.023064,10:31:18,in-test,141.0
0.025627,10:31:18,in-test,141.25
0.023064,10:31:18,in-test,141.5
0.024345,10:31:18,in-test,141.75
0.024345,10:31:19,in-test,142.0
0.023064,10:31:19,in-test,142.25
0.023064,10:31:19,in-test,142.5
0.024345,10:31:19,in-test,142.75
0.024345,10:31:20,in-test,143.0
0.023064,10:31:20,in-test,143.25
0.025627,10:31:20,in-test,143.5
0.024345,10:31:20,in-test,143.75
0.023064,10:31:21,in-test,144.0
0.024345,10:31:21,in-test,144.25
0.023064,10:31:21,in-test,144.5
0.024345,10:31:21,in-test,144.75
0.024345,10:31:22,in-test,145.0
0.024345,10:31:22,in-test,145.25
0.024345,10:31:22,in-test,145.5
0.023064,10:31:22,in-test,145.75
0.023064,10:31:23,in-test,146.0
0.023064,10:31:23,in-test,146.25
0.023064,10:31:23,in-test,146.5
0.024345,10:31:23,in-test,146.75
0.025627,10:31:24,in-test,147.0
0.024345,10:31:24,in-test,147.25
0.023064,10:31:24,in-test,147.5
0.024345,10:31:24,in-test,147.75
0.023064,10:31:25,in-test,148.0
0.026908,10:31:25,in-test,148.25
0.023064,10:31:25,in-test,148.5
0.021783,10:31:25,in-test,148.75
0.024345,10:31:26,in-test,149.0
0.025627,10:31:26,in-test,149.25
0.024345,10:31:26,in-test,149.5
0.024345,10:31:26,in-test,149.75
0.023064,10:31:27,in-test,150.0
0.024345,10:31:27,in-test,150.25
0.024345,10:31:27,in-test,150.5
0.023064,10:31:27,in-test,150.75
0.023064,10:31:28,in-test,151.0
0.025627,10:31:28,in-test,151.25
0.025627,10:31:28,in-test,151.5
0.024345,10:31:28,in-test,151.75
0.026908,10:31:29,in-test,152.0
0.023064,10:31:29,in-test,152.25
0.021783,10:31:29,in-test,152.5
0.024345,10:31:29,in-test,152.75
0.024345,10:31:30,in-test,153.0
0.024345,10:31:30,in-test,153.25
0.021783,10:31:30,in-test,153.5
0.023064,10:31:30,in-test,153.75
0.025627,10:31:31,in-test,154.0
0.023064,10:31:31,in-test,154.25
0.021783,10:31:31,in-test,154.5
0.025627,10:31:31,in-test,154.75
0.023064,10:31:32,in-test,155.0
0.023064,10:31:32,in-test,155.25
0.025627,10:31:32,in-test,155.5
0.025627,10:31:32,in-test,155.75
0.024345,10:31:33,in-test,156.0
0.025627,10:31:33,in-test,156.25
0.023064,10:31:33,in-test,156.5
0.024345,10:31:33,in-test,156.75
0.024345,10:31:34,in-test,157.0
0.023064,10:31:34,in-test,157.25
0.023064,10:31:34,in-test,157.5
0.021783,10:31:34,in-test,157.75
0.025627,10:31:35,in-test,158.0
0.025627,10:31:35,in-test,158.25
0.024345,10:31:35,in-test,158.5
0.020501,10:31:35,in-test,158.75
0.028189,10:31:36,in-test,159.0
0.024345,10:31:36,in-test,159.25
0.024345,10:31:36,in-test,159.5
0.024345,10:31:36,in-test,159.75
0.021783,10:31:37,in-test,160.0
0.024345,10:31:37,in-test,160.25
0.023064,10:31:37,in-test,160.5
0.024345,10:31:37,in-test,160.75
0.024345,10:31:38,in-test,161.0
0.024345,10:31:38,in-test,161.25
0.024345,10:31:38,in-test,161.5
0.023064,10:31:38,in-test,161.75
0.023064,10:31:39,in-test,162.0
0.024345,10:31:39,in-test,162.25
0.024345,10:31:39,in-test,162.5
0.023064,10:31:39,in-test,162.75
0.023064,10:31:40,in-test,163.0
0.025627,10:31:40,in-test,163.25
0.024345,10:31:40,in-test,163.5
0.024345,10:31:40,in-test,163.75
0.023064,10:31:41,in-test,164.0
0.025627,10:31:41,in-test,164.25
0.023064,10:31:41,in-test,164.5
0.021783,10:31:41,in-test,164.75
0.024345,10:31:42,in-test,165.0
0.023064,10:31:42,in-test,165.25
0.023064,10:31:42,in-test,165.5
0.024345,10:31:42,in-test,165.75
0.024345,10:31:43,in-test,166.0
0.024345,10:31:43,in-test,166.25
0.023064,10:31:43,in-test,166.5
0.023064,10:31:43,in-test,166.75
0.024345,10:31:44,in-test,167.0
0.023064,10:31:44,in-test,167.25
0.024345,10:31:44,in-test,167.5
0.024345,10:31:44,in-test,167.75
0.023064,10:31:45,in-test,168.0
0.023064,10:31:45,in-test,168.25
0.024345,10:31:45,in-test,168.5
0.024345,10:31:45,in-test,168.75
0.024345,10:31:46,in-test,169.0
0.023064,10:31:46,in-test,169.25
0.021783,10:31:46,in-test,169.5
0.024345,10:31:46,in-test,169.75
0.024345,10:31:47,in-test,170.0
0.024345,10:31:47,in-test,170.25
0.023064,10:31:47,in-test,170.5
0.023064,10:31:47,in-test,170.75
0.025627,10:31:48,in-test,171.0
0.025627,10:31:48,in-test,171.25
0.024345,10:31:48,in-test,171.5
0.024345,10:31:48,in-test,171.75
0.023064,10:31:49,in-test,172.0
0.023064,10:31:49,in-test,172.25
0.023064,10:31:49,in-test,172.5
0.024345,10:31:49,in-test,172.75
0.026908,10:31:50,in-test,173.0
0.025627,10:31:50,in-test,173.25
0.023064,10:31:50,in-test,173.5
0.023064,10:31:50,in-test,173.75
0.024345,10:31:51,in-test,174.0
0.024345,10:31:51,in-test,174.25
0.023064,10:31:51,in-test,174.5
0.021783,10:31:51,in-test,174.75
0.024345,10:31:52,in-test,175.0
0.023064,10:31:52,in-test,175.25
0.024345,10:31:52,in-test,175.5
0.023064,10:31:52,in-test,175.75
0.024345,10:31:53,in-test,176.0
0.023064,10:31:53,in-test,176.25
0.023064,10:31:53,in-test,176.5
0.025627,10:31:53,in-test,176.75
0.024345,10:31:54,in-test,177.0
0.023064,10:31:54,in-test,177.25
0.023064,10:31:54,in-test,177.5
0.024345,10:31:54,in-test,177.75
0.024345,10:31:55,in-test,178.0
0.024345,10:31:55,in-test,178.25
0.023064,10:31:55,in-test,178.5
0.025627,10:31:55,in-test,178.75
0.025627,10:31:56,in-test,179.0
0.023064,10:31:56,in-test,179.25
0.024345,10:31:56,in-test,179.5
0.023064,10:31:56,in-test,179.75
0.025627,10:31:57,in-test,180.0
0.024345,10:31:57,in-test,180.25
0.021783,10:31:57,in-test,180.5
0.023064,10:31:57,in-test,180.75
0.024345,10:31:58,in-test,181.0
0.023064,10:31:58,in-test,181.25
0.023064,10:31:58,in-test,181.5
0.024345,10:31:58,in-test,181.75
0.024345,10:31:59,in-test,182.0
0.025627,10:31:59,in-test,182.25
0.023064,10:31:59,in-test,182.5
0.023064,10:31:59,in-test,182.75
0.023064,10:32:00,in-test,183.0
